City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hadibu,12.65,54.0333,24.43,69,62,4.54,YE,1702331548
1,adamstown,-25.066,-130.1015,21.64,60,1,1.95,PN,1702331692
2,edinburgh of the seven seas,-37.0676,-12.3116,13.53,90,100,9.22,SH,1702331692
3,papao,-17.75,-149.55,28.7,78,90,10.98,PF,1702331692
4,waitangi,-43.9535,-176.5597,14.34,91,100,3.13,NZ,1702331693
5,bethel,41.3712,-73.414,5.29,66,100,5.14,US,1702331693
6,muisne,0.6,-80.0333,26.25,82,85,3.55,EC,1702331693
7,hermanus,-34.4187,19.2345,17.37,87,62,5.81,ZA,1702331487
8,birobidzhan,48.8,132.95,-25.66,93,5,1.81,RU,1702331694
9,iskateley,67.6803,53.1512,-14.48,91,100,8.44,RU,1702331618
10,port elizabeth,-33.918,25.5701,17.28,92,0,1.54,ZA,1702331694
11,port douglas,-16.4833,145.4667,28.51,66,69,3.1,AU,1702331695
12,grytviken,-54.2811,-36.5092,2.31,77,32,5.49,GS,1702331695
13,invercargill,-46.4,168.35,10.41,58,64,8.63,NZ,1702331695
14,monticello,45.3055,-93.7941,1.19,77,0,4.63,US,1702331696
15,lihue,21.9789,-159.3672,27.58,78,20,4.12,US,1702331697
16,happy valley-goose bay,53.3168,-60.3315,-0.83,86,100,4.12,CA,1702331697
17,bilibino,68.0546,166.4372,-20.14,95,100,1.6,RU,1702331698
18,west island,-12.1568,96.8225,24.99,83,93,3.09,CC,1702331698
19,iqaluit,63.7506,-68.5145,-15.15,72,100,4.12,CA,1702331699
20,ushuaia,-54.8,-68.3,10.81,43,0,1.54,AR,1702331483
21,monrovia,6.3005,-10.7969,25.87,80,54,1.86,LR,1702331699
22,la passe,45.5549,-0.8967,14.13,90,100,5.47,FR,1702331700
23,blackmans bay,-43.0167,147.3167,16.07,79,20,0.89,AU,1702331700
24,port-aux-francais,-49.35,70.2167,5.65,98,99,10.34,TF,1702331700
25,ghat,24.9647,10.1728,12.57,37,0,1.31,LY,1702331701
26,carnarvon,-24.8667,113.6333,24.43,39,0,2.78,AU,1702331701
27,remire-montjoly,4.9167,-52.2667,28.02,78,40,2.57,GF,1702331701
28,albany,42.6001,-73.9662,2.51,75,12,5.36,US,1702331702
29,xai-xai,-25.0519,33.6442,23.75,97,99,0.78,MZ,1702331702
30,holualoa,19.6228,-155.9522,26.54,78,40,4.12,US,1702331702
31,gogapur,23.55,75.5167,15.96,46,63,2.66,IN,1702331703
32,nadym,65.5333,72.5167,-28.09,88,100,5.2,RU,1702331703
33,westport,41.1415,-73.3579,5.99,65,100,6.69,US,1702331704
34,aioun,16.6614,-9.6149,22.74,13,1,5.0,MR,1702331704
35,anta,25.15,76.3,16.09,45,0,1.53,IN,1702331704
36,nova sintra,14.8667,-24.7167,23.18,68,28,7.35,CV,1702331705
37,sitka,57.0531,-135.33,6.94,76,100,5.66,US,1702331705
38,kodiak,57.79,-152.4072,-0.27,64,20,3.6,US,1702331705
39,tanjung pandan,-2.75,107.65,26.15,84,96,2.06,ID,1702331706
40,constantia,44.1833,28.65,2.61,81,36,4.29,RO,1702331706
41,tura,25.5198,90.2201,14.71,89,0,1.44,IN,1702331706
42,juneau,58.3019,-134.4197,4.0,81,100,10.29,US,1702331707
43,tarnogskiy gorodok,60.4997,43.5761,-10.89,88,100,5.4,RU,1702331707
44,tongchuanshi,35.0806,109.0897,-0.16,95,81,0.96,CN,1702331707
45,mesquite,32.7668,-96.5992,18.93,27,0,3.09,US,1702331597
46,atafu village,-8.5421,-172.5159,28.74,79,100,10.87,TK,1702331598
47,badger,64.8,-147.5333,-8.07,86,100,0.0,US,1702331426
48,carloforte,39.145,8.3058,16.47,91,31,4.28,IT,1702331709
49,toamasina,-18.1667,49.3833,25.0,88,40,0.0,MG,1702331709
50,kruisfontein,-34.0033,24.7314,16.05,86,1,2.97,ZA,1702331710
51,la foa,-21.7108,165.8276,25.56,55,90,1.96,NC,1702331710
52,caluula,11.9661,50.7569,24.97,66,6,3.25,SO,1702331710
53,coquimbo,-29.9533,-71.3436,17.85,72,40,6.17,CL,1702331372
54,luganville,-15.5333,167.1667,25.78,74,100,3.33,VU,1702331553
55,alofi,-19.0595,-169.9187,25.94,83,78,3.6,NU,1702331598
56,luderitz,-26.6481,15.1594,18.89,55,0,9.34,NA,1702331712
57,flying fish cove,-10.4217,105.6791,23.82,88,40,3.09,CX,1702331712
58,thayetmyo,19.3167,95.1833,21.11,85,0,1.93,MM,1702331712
59,papatowai,-46.5619,169.4708,9.85,66,55,9.02,NZ,1702331713
60,port shepstone,-30.7414,30.455,20.25,86,99,0.38,ZA,1702331713
61,ghadamis,30.1337,9.5007,13.5,42,0,2.73,LY,1702331713
62,olonkinbyen,70.9221,-8.7187,-0.16,99,100,5.61,SJ,1702331714
63,margaret river,-33.95,115.0667,15.59,72,0,4.31,AU,1702331714
64,puerto natales,-51.7236,-72.4875,12.25,47,75,8.75,CL,1702331714
65,port mathurin,-19.6833,63.4167,25.94,76,91,2.67,MU,1702331715
66,santana,-0.0583,-51.1817,31.1,66,20,4.63,BR,1702331715
67,puerto ayora,-0.7393,-90.3518,27.98,78,72,3.75,EC,1702331715
68,tabuk,17.4189,121.4443,23.23,85,95,0.97,PH,1702331716
69,san julian,21.0167,-102.1667,10.03,86,100,2.56,MX,1702331716
70,axim,4.8699,-2.2405,26.97,82,16,3.15,GH,1702331717
71,tolanaro,-25.0319,46.9987,26.04,94,20,6.17,MG,1702331717
72,buka,40.8108,69.1986,-5.47,95,100,4.04,UZ,1702331718
73,palapag,12.5458,125.1147,25.29,91,81,2.46,PH,1702331718
74,sechura,-5.5569,-80.8222,25.85,61,14,7.5,PE,1702331718
75,chililabombwe,-12.3648,27.8229,18.41,98,100,1.2,ZM,1702331719
76,vilyuchinsk,52.9306,158.4028,-8.85,84,14,3.52,RU,1702331609
77,georgetown,5.4112,100.3354,26.08,97,20,1.54,MY,1702331538
78,newman,37.3138,-121.0208,16.24,49,96,1.34,US,1702331720
79,cedeira,43.6797,-8.0209,16.88,77,100,8.91,ES,1702331720
80,sarangani,5.4033,125.4636,27.75,75,61,3.94,PH,1702331721
81,kalocsa,46.5264,18.9858,4.34,100,99,2.7,HU,1702331721
82,utrik,11.2278,169.8474,27.15,71,20,9.34,MH,1702331721
83,talnakh,69.4865,88.3972,-26.54,98,100,4.7,RU,1702331558
84,osterburg,52.7833,11.7667,7.85,99,98,3.85,DE,1702331722
85,mendi,-6.1761,143.6513,15.87,83,78,0.6,PG,1702331722
86,augusto correa,-1.0217,-46.635,26.63,79,36,3.32,BR,1702331723
87,tazovsky,67.4667,78.7,-25.39,95,100,3.9,RU,1702331723
88,katima mulilo,-17.5,24.2667,22.76,58,40,2.27,NA,1702331633
89,hillsboro,45.5229,-122.9898,11.91,90,100,1.54,US,1702331570
90,orchard homes,46.8633,-114.0484,4.22,95,100,1.54,US,1702331724
91,egilsstadir,65.2653,-14.3948,-3.05,74,100,3.09,IS,1702331584
92,jamestown,42.097,-79.2353,0.01,77,100,5.14,US,1702331500
93,bijie,27.3125,105.2942,8.88,90,100,2.1,CN,1702331725
94,pran buri,12.3847,99.9098,24.01,82,16,1.26,TH,1702331725
95,qaqortoq,60.7167,-46.0333,-1.35,96,100,5.17,GL,1702331540
96,chonchi,-42.6128,-73.8092,13.56,93,100,2.32,CL,1702331726
97,narvik,68.4384,17.4272,-8.19,91,30,2.78,NO,1702331726
98,progreso,21.2833,-89.6667,24.5,63,99,6.16,MX,1702331429
99,prineville,44.2999,-120.8345,11.68,74,100,2.06,US,1702331727
100,taroa,8.7058,171.2275,27.7,75,84,9.06,MH,1702331727
101,sa'dah,16.9402,43.7639,11.34,30,2,1.2,YE,1702331728
102,slawno,54.3628,16.6789,1.49,99,100,0.45,PL,1702331728
103,weno,7.4515,151.8468,26.97,89,100,3.6,FM,1702331729
104,tamandare,-8.7597,-35.1047,26.08,75,1,4.03,BR,1702331729
105,okha,53.5739,142.9478,-20.51,85,65,10.35,RU,1702331729
106,walvis bay,-22.9575,14.5053,16.72,82,18,3.6,NA,1702331729
107,belyy yar,53.6039,91.3903,-34.06,68,54,0.0,RU,1702331730
108,wailua homesteads,22.0669,-159.378,27.24,83,20,4.12,US,1702331730
109,arangaon,18.6667,75.1833,20.01,60,81,2.61,IN,1702331730
110,vila velha,-20.3297,-40.2925,27.97,83,20,6.17,BR,1702331731
111,beltran,-27.8291,-64.061,33.78,31,1,6.59,AR,1702331731
112,belmonte,-15.8631,-38.8828,26.08,80,81,5.2,BR,1702331731
113,rapid valley,44.0625,-103.1463,7.11,59,100,12.07,US,1702331732
114,longyearbyen,78.2186,15.6401,-6.09,68,75,5.14,SJ,1702331732
115,harper,4.375,-7.7169,26.37,83,23,2.95,LR,1702331731
116,winchester,51.0651,-1.3187,11.35,97,75,2.57,GB,1702331733
117,yellowknife,62.456,-114.3525,-23.71,77,75,1.03,CA,1702331728
118,kloulklubed,7.0419,134.2556,26.28,78,89,5.71,PW,1702331733
119,along,28.1667,94.7667,11.39,78,1,0.71,IN,1702331734
120,zhangye,38.9342,100.4517,2.74,17,0,4.45,CN,1702331734
121,christchurch,-43.5333,172.6333,11.29,81,100,9.26,NZ,1702331734
